,id,img_path,label
0,3929265,3929265_4.png,1
1,24351617,24351617_5.png,1
2,32173477,32173477_2.png,5
3,15117566,15117566_1.png,1
4,38813685,38813685_1.png,5
5,34424217,34424217_3.png,5
6,32162026,32162026_5.png,4
7,33116494,33116494_15.png,1
8,8527166,8527166_12.png,0
9,30224759,30224759_5.png,6
10,41279172,41279172_1.png,2
11,37748554,37748554_43.png,6
12,21304884,21304884_0.png,1
13,29140686,29140686_11.png,6
14,45753733,45753733_17.png,1
15,48761022,48761022_1.png,1
16,38928700,38928700_15.png,1
17,39376305,39376305_3.png,0
18,13124369,13124369_6.png,6
19,19369142,19369142_1.png,1
20,8563729,8563729_17.png,1
21,10066188,10066188_10.png,0
22,51662465,51662465_11.png,1
23,52562345,52562345_8.png,1
24,206288,206288_0.png,5
25,51979900,51979900_3.png,1
26,1053919,1053919_26.png,4
27,14102156,14102156_23.png,0
28,52329539,52329539_5.png,0
29,4496669,4496669_3.png,1
30,17733740,17733740_4.png,5
31,18666657,18666657_7.png,1
32,40607628,40607628_4.png,5
33,12456762,12456762_15.png,6
34,6280491,6280491_6.png,6
35,25108558,25108558_1.png,1
36,53086577,53086577_35.png,6
37,40628915,40628915_8.png,0
38,35380727,35380727_12.png,0
39,5444123,5444123_6.png,3
40,44904158,44904158_0.png,1
41,10010825,10010825_17.png,0
42,1726369,1726369_15.png,6
43,11669266,11669266_34.png,6
44,35247633,35247633_7.png,6
45,39523384,39523384_9.png,1
46,20842640,20842640_0.png,1
47,33412699,33412699_1.png,5
48,32796076,32796076_12.png,6
49,52860967,52860967_0.png,5
50,19362979,19362979_2.png,5
51,50953344,50953344_6.png,6
52,32884085,32884085_2.png,4
53,26854836,26854836_15.png,0
54,51438724,51438724_6.png,1
55,6139657,6139657_20.png,6
56,21193357,21193357_4.png,1
57,36046040,36046040_4.png,2
58,42661808,42661808_1.png,0
59,11669266,11669266_20.png,1
60,33463675,33463675_14.png,0
61,10044204,10044204_3.png,1
62,28277301,28277301_2.png,5
63,16992938,16992938_13.png,5
64,38338584,38338584_10.png,4
65,50750499,50750499_9.png,0
66,14799094,14799094_3.png,0
67,45129281,45129281_4.png,5
68,32950600,32950600_19.png,1
69,28687710,28687710_3.png,0
70,26852113,26852113_7.png,0
71,31157763,31157763_8.png,1
72,603977,603977_7.png,1
73,36046927,36046927_0.png,4
74,37124472,37124472_9.png,5
75,53086577,53086577_21.png,0
76,44573525,44573525_2.png,1
77,14707944,14707944_22.png,4
78,45297339,45297339_2.png,5
79,1057272,1057272_4.png,5
80,37894746,37894746_12.png,1
81,18666657,18666657_19.png,0
82,24328758,24328758_3.png,5
83,53928610,53928610_3.png,2
84,44319001,44319001_1.png,4
85,2758752,2758752_12.png,0
86,38439830,38439830_0.png,5
87,53497271,53497271_4.png,1
88,45355041,45355041_1.png,1
89,16570713,16570713_16.png,1
90,19927267,19927267_1.png,1
91,24006158,24006158_2.png,5
92,45284396,45284396_0.png,6
93,49872983,49872983_0.png,1
94,16592040,16592040_7.png,0
95,15794305,15794305_7.png,1
96,52102196,52102196_17.png,6
97,38432783,38432783_6.png,0
98,52184717,52184717_9.png,1
99,35863249,35863249_8.png,4
100,20879924,20879924_0.png,5
101,14543049,14543049_16.png,6
102,32513699,32513699_3.png,1
103,28394351,28394351_6.png,1
104,37440198,37440198_2.png,1
105,37748554,37748554_57.png,6
106,48129558,48129558_5.png,4
107,52613232,52613232_8.png,5
108,42824798,42824798_8.png,6
109,11656738,11656738_7.png,6
110,35440787,35440787_12.png,5
111,50298233,50298233_7.png,1
112,42500098,42500098_2.png,4
113,20611534,20611534_0.png,4
114,26852113,26852113_17.png,0
115,20548037,20548037_2.png,0
116,33545684,33545684_2.png,0
117,21434461,21434461_0.png,4
118,31255728,31255728_15.png,0
119,13638740,13638740_0.png,5
120,48514969,48514969_1.png,0
121,40830221,40830221_5.png,1
122,15902770,15902770_14.png,4
123,19854673,19854673_2.png,5
124,1666402,1666402_13.png,1
125,8836863,8836863_15.png,1
126,40839352,40839352_7.png,2
127,32907762,32907762_6.png,0
128,17378445,17378445_6.png,1
129,45325999,45325999_7.png,0
130,45460676,45460676_2.png,4
131,15004772,15004772_15.png,1
132,34698345,34698345_8.png,1
