img_path,id,img_no,label
44077_0.png,44077,0,4.0
44077_1.png,44077,1,5.0
44077_2.png,44077,2,1.0
44077_3.png,44077,3,1.0
44077_4.png,44077,4,1.0
44077_5.png,44077,5,3.0
44077_6.png,44077,6,1.0
44077_7.png,44077,7,3.0
44077_8.png,44077,8,3.0
44077_9.png,44077,9,1.0
44077_10.png,44077,10,0.0
44077_11.png,44077,11,6.0
44077_12.png,44077,12,6.0
44077_13.png,44077,13,6.0
44077_14.png,44077,14,6.0
44077_15.png,44077,15,6.0
44077_16.png,44077,16,6.0
44077_17.png,44077,17,6.0
44077_18.png,44077,18,6.0
44077_19.png,44077,19,6.0
44077_20.png,44077,20,5.0
44077_21.png,44077,21,4.0
44077_22.png,44077,22,6.0
44077_23.png,44077,23,3.0
44077_24.png,44077,24,4.0
44077_25.png,44077,25,6.0
44077_26.png,44077,26,6.0
44077_27.png,44077,27,6.0
44077_28.png,44077,28,6.0
44077_29.png,44077,29,6.0
44077_30.png,44077,30,6.0
44077_31.png,44077,31,5.0
44077_32.png,44077,32,6.0
44077_33.png,44077,33,1.0
44077_34.png,44077,34,1.0
44077_35.png,44077,35,1.0
85148_0.png,85148,0,6.0
85148_1.png,85148,1,6.0
85148_2.png,85148,2,6.0
85148_3.png,85148,3,6.0
85148_4.png,85148,4,6.0
85148_5.png,85148,5,1.0
85148_6.png,85148,6,1.0
85148_7.png,85148,7,4.0
85148_8.png,85148,8,6.0
85148_9.png,85148,9,0.0
85148_10.png,85148,10,6.0
85148_11.png,85148,11,0.0
85156_0.png,85156,0,4.0
85156_1.png,85156,1,1.0
85156_2.png,85156,2,1.0
85156_3.png,85156,3,1.0
85156_4.png,85156,4,6.0
85156_5.png,85156,5,1.0
85156_6.png,85156,6,1.0
85156_7.png,85156,7,3.0
85156_8.png,85156,8,5.0
85156_9.png,85156,9,3.0
85156_10.png,85156,10,3.0
85156_11.png,85156,11,3.0
85156_12.png,85156,12,0.0
85156_13.png,85156,13,0.0
85156_14.png,85156,14,6.0
85156_15.png,85156,15,6.0
85156_16.png,85156,16,6.0
85156_17.png,85156,17,6.0
85156_18.png,85156,18,6.0
85156_19.png,85156,19,6.0
85156_20.png,85156,20,6.0
85156_21.png,85156,21,6.0
85156_22.png,85156,22,6.0
85156_23.png,85156,23,5.0
85156_24.png,85156,24,6.0
85156_25.png,85156,25,6.0
85156_26.png,85156,26,3.0
85156_27.png,85156,27,4.0
85156_28.png,85156,28,3.0
85156_29.png,85156,29,6.0
85156_30.png,85156,30,6.0
85156_31.png,85156,31,1.0
85156_32.png,85156,32,5.0
85156_33.png,85156,33,1.0
85156_34.png,85156,34,6.0
85156_35.png,85156,35,6.0
85156_36.png,85156,36,1.0
85156_37.png,85156,37,5.0
159889_0.png,159889,0,1.0
159889_1.png,159889,1,0.0
159889_2.png,159889,2,6.0
159889_3.png,159889,3,6.0
159889_4.png,159889,4,0.0
159889_5.png,159889,5,1.0
159889_6.png,159889,6,5.0
159889_7.png,159889,7,5.0
159889_8.png,159889,8,1.0
159889_9.png,159889,9,6.0
159889_10.png,159889,10,4.0
159889_11.png,159889,11,6.0
159889_12.png,159889,12,4.0
162809_0.png,162809,0,1.0
162809_1.png,162809,1,4.0
162809_2.png,162809,2,1.0
162809_3.png,162809,3,1.0
162809_4.png,162809,4,0.0
162809_5.png,162809,5,6.0
162809_6.png,162809,6,6.0
162809_7.png,162809,7,6.0
162809_8.png,162809,8,6.0
162809_9.png,162809,9,6.0
162809_10.png,162809,10,6.0
162809_11.png,162809,11,6.0
162809_12.png,162809,12,6.0
162809_13.png,162809,13,6.0
162809_14.png,162809,14,5.0
162809_15.png,162809,15,6.0
162809_16.png,162809,16,6.0
162809_17.png,162809,17,6.0
162809_18.png,162809,18,6.0
162809_19.png,162809,19,6.0
162809_20.png,162809,20,6.0
162809_21.png,162809,21,6.0
162809_22.png,162809,22,1.0
165828_0.png,165828,0,5.0
165828_1.png,165828,1,4.0
165828_2.png,165828,2,5.0
165828_3.png,165828,3,2.0
165828_4.png,165828,4,5.0
165828_5.png,165828,5,2.0
165828_6.png,165828,6,5.0
165828_7.png,165828,7,0.0
165828_8.png,165828,8,4.0
165828_9.png,165828,9,1.0
165828_10.png,165828,10,1.0
165828_11.png,165828,11,1.0
165828_12.png,165828,12,0.0
165828_13.png,165828,13,1.0
165828_14.png,165828,14,1.0
165828_15.png,165828,15,5.0
165828_16.png,165828,16,1.0
165828_17.png,165828,17,1.0
165828_18.png,165828,18,2.0
165828_19.png,165828,19,5.0
165828_20.png,165828,20,0.0
165828_21.png,165828,21,0.0
165828_22.png,165828,22,6.0
165828_23.png,165828,23,0.0
165828_24.png,165828,24,0.0
165828_25.png,165828,25,5.0
165828_26.png,165828,26,5.0
165828_27.png,165828,27,5.0
165828_28.png,165828,28,5.0
165828_29.png,165828,29,5.0
165828_30.png,165828,30,1.0
165828_31.png,165828,31,4.0
165828_32.png,165828,32,4.0
165828_33.png,165828,33,6.0
165828_34.png,165828,34,5.0
165828_35.png,165828,35,6.0
165828_36.png,165828,36,6.0
165828_37.png,165828,37,6.0
165828_38.png,165828,38,6.0
165828_39.png,165828,39,6.0
165829_0.png,165829,0,5.0
165829_1.png,165829,1,5.0
165829_2.png,165829,2,5.0
165829_3.png,165829,3,5.0
165829_4.png,165829,4,5.0
165829_5.png,165829,5,5.0
165829_6.png,165829,6,4.0
165829_7.png,165829,7,2.0
165829_8.png,165829,8,4.0
165829_9.png,165829,9,3.0
165829_10.png,165829,10,1.0
165829_11.png,165829,11,5.0
165829_12.png,165829,12,1.0
165829_13.png,165829,13,1.0
165829_14.png,165829,14,1.0
165829_15.png,165829,15,5.0
165829_16.png,165829,16,1.0
165829_17.png,165829,17,0.0
165829_18.png,165829,18,6.0
165829_19.png,165829,19,0.0
165829_20.png,165829,20,6.0
165829_21.png,165829,21,5.0
178860_0.png,178860,0,1.0
178860_1.png,178860,1,3.0
178860_2.png,178860,2,1.0
178860_3.png,178860,3,3.0
178860_4.png,178860,4,5.0
178860_5.png,178860,5,5.0
178860_6.png,178860,6,5.0
178860_7.png,178860,7,5.0
178860_8.png,178860,8,5.0
178860_9.png,178860,9,4.0
