,img_path,label,id,img_no,categorical_label
0,44077_0.png,kitchen,44077,0,5
1,44077_0.png,others,44077,0,7
2,44077_1.png,living,44077,1,6
3,44077_3.png,bedroom,44077,3,2
4,44077_7.png,hallway,44077,7,4
5,44077_8.png,hallway,44077,8,4
6,44077_13.png,others,44077,13,7
7,44077_14.png,others,44077,14,7
8,44077_22.png,others,44077,22,7
9,44077_25.png,others,44077,25,7
10,44077_30.png,others,44077,30,7
11,44077_32.png,others,44077,32,7
12,44077_34.png,bedroom,44077,34,2
13,44077_35.png,bedroom,44077,35,2
14,85148_0.png,others,85148,0,7
15,85148_1.png,others,85148,1,7
16,85148_2.png,others,85148,2,7
17,85148_3.png,others,85148,3,7
18,85148_4.png,others,85148,4,7
19,85148_5.png,bedroom,85148,5,2
20,85148_6.png,bedroom,85148,6,2
21,85148_8.png,others,85148,8,7
22,85148_9.png,bathroom,85148,9,1
23,85148_11.png,bathroom,85148,11,1
24,85156_0.png,kitchen,85156,0,5
25,85156_0.png,dining,85156,0,3
26,85156_2.png,bedroom,85156,2,2
27,85156_5.png,bedroom,85156,5,2
28,85156_10.png,hallway,85156,10,4
29,85156_14.png,others,85156,14,7
30,85156_17.png,others,85156,17,7
31,85156_34.png,others,85156,34,7
32,162809_2.png,bedroom,162809,2,2
33,162809_4.png,bathroom,162809,4,1
34,162809_14.png,others,162809,14,7
35,162809_15.png,others,162809,15,7
36,162809_16.png,others,162809,16,7
37,162809_17.png,others,162809,17,7
38,162809_21.png,others,162809,21,7
39,162809_22.png,bedroom,162809,22,2
40,165828_1.png,kitchen,165828,1,5
41,165828_1.png,living,165828,1,6
42,165828_14.png,bedroom,165828,14,2
43,165828_22.png,others,165828,22,7
44,165828_23.png,bathroom,165828,23,1
45,165828_36.png,others,165828,36,7
46,165828_39.png,others,165828,39,7
47,165829_18.png,others,165829,18,7
48,237465_1.png,living,237465,1,6
49,237465_4.png,bedroom,237465,4,2
50,237465_5.png,bathroom,237465,5,1
51,237465_6.png,bathroom,237465,6,1
52,245893_0.png,bedroom,245893,0,2
53,245893_7.png,bathroom,245893,7,1
54,245903_0.png,bedroom,245903,0,2
55,245903_4.png,bedroom,245903,4,2
56,245903_8.png,bathroom,245903,8,1
57,292757_1.png,others,292757,1,7
58,292757_6.png,bathroom,292757,6,1
59,292757_7.png,bedroom,292757,7,2
60,292757_8.png,bedroom,292757,8,2
61,292757_9.png,bedroom,292757,9,2
62,292757_10.png,bedroom,292757,10,2
63,292757_12.png,bedroom,292757,12,2
64,292757_13.png,bedroom,292757,13,2
65,292757_14.png,bedroom,292757,14,2
66,292757_16.png,kitchen,292757,16,5
67,292757_16.png,living,292757,16,6
68,292757_18.png,living,292757,18,6
69,292757_19.png,living,292757,19,6
70,292757_20.png,living,292757,20,6
71,292757_21.png,others,292757,21,7
72,302554_0.png,bedroom,302554,0,2
73,302554_4.png,living,302554,4,6
74,302554_6.png,kitchen,302554,6,5
75,302554_6.png,dining,302554,6,3
76,302554_7.png,kitchen,302554,7,5
77,302554_7.png,dining,302554,7,3
78,302554_9.png,dining,302554,9,3
79,302554_10.png,bathroom,302554,10,1
80,302554_11.png,bathroom,302554,11,1
81,302554_13.png,hallway,302554,13,4
82,302554_14.png,others,302554,14,7
83,302554_15.png,others,302554,15,7
84,302554_16.png,others,302554,16,7
85,302554_17.png,others,302554,17,7
86,302634_0.png,bedroom,302634,0,2
87,302634_1.png,bedroom,302634,1,2
88,302634_1.png,kitchen,302634,1,5
89,302634_2.png,living,302634,2,6
90,302634_3.png,kitchen,302634,3,5
91,302634_3.png,dining,302634,3,3
92,302634_6.png,hallway,302634,6,4
93,302634_7.png,bathroom,302634,7,1
